index,sourcetype,EventCode,Event_Description,timestamp,User,badge_access
security,win*,721,,2023-05-31 11:54:11.222615,,0
security,history_access,,Access,2023-05-27 23:00:11.222626,,1
security,win*,2525,,2023-06-03 07:16:11.222630,,1
security,win*,4520,,2023-05-31 10:42:11.222633,,0
security,history_access,,Access,2023-06-03 08:32:11.222637,,0
security,history_access,,Access,2023-06-02 22:48:11.222642,,0
security,win*,3467,,2023-06-01 00:35:11.222644,,1
security,win*,3066,,2023-05-29 00:55:11.222648,,1
security,history_access,,Access,2023-05-31 01:23:11.222652,,1
security,history_access,,Access,2023-05-28 13:10:11.222654,,1
security,win*,1204,,2023-05-28 03:52:11.222656,,1
security,win*,1595,,2023-05-31 14:41:11.222658,,1
security,history_access,,Access,2023-06-02 05:17:11.222661,,1
security,win*,3826,,2023-06-01 05:31:11.222663,,0
security,win*,904,,2023-05-29 22:53:11.222665,,0
security,win*,2368,,2023-06-03 14:16:11.222667,,0
security,history_access,,Access,2023-06-01 05:22:11.222669,,0
security,history_access,,Access,2023-05-31 11:20:11.222672,,1
security,history_access,,Access,2023-05-31 14:00:11.222674,,0
security,win*,3393,,2023-05-29 08:06:11.222675,,0
security,win*,4013,,2023-05-30 12:51:11.222678,,1
security,history_access,,Access,2023-06-02 18:58:11.222680,,0
security,history_access,,Access,2023-06-03 02:02:11.222682,,0
security,history_access,,Access,2023-05-28 19:50:11.222684,,0
security,history_access,,Access,2023-05-30 22:24:11.222686,,0
security,history_access,,Access,2023-05-31 04:24:11.222688,,0
security,win*,676,,2023-05-29 15:44:11.222690,,0
security,win*,4270,,2023-05-30 15:38:11.222692,,1
security,history_access,,Access,2023-06-03 11:03:11.222695,,0
security,win*,4541,,2023-05-31 00:27:11.222697,,0
security,history_access,,Access,2023-05-30 15:37:11.222699,,0
security,win*,4201,,2023-06-03 05:02:11.222701,,1
security,history_access,,Access,2023-05-30 03:11:11.222703,,1
security,history_access,,Access,2023-05-28 01:38:11.222705,,0
security,win*,4388,,2023-05-30 12:12:11.222707,,0
security,history_access,,Access,2023-05-31 09:00:11.222709,,0
security,win*,1612,,2023-06-02 23:16:11.222711,,0
security,history_access,,Access,2023-06-01 18:15:11.222713,,0
security,win*,1456,,2023-05-30 18:14:11.222715,,0
security,win*,3917,,2023-06-02 07:30:11.222717,,0
security,history_access,,Access,2023-05-31 04:56:11.222719,,1
security,history_access,,Access,2023-05-30 15:52:11.222721,,0
security,win*,1269,,2023-05-30 14:13:11.222723,,0
security,history_access,,Access,2023-05-30 14:40:11.222725,,1
security,history_access,,Access,2023-06-02 07:58:11.222727,,1
security,history_access,,Access,2023-06-01 11:45:11.222729,,0
security,history_access,,Access,2023-05-30 08:23:11.222731,,1
security,win*,3282,,2023-05-28 22:55:11.222733,,1
security,history_access,,Access,2023-06-01 00:50:11.222736,,1
security,win*,1931,,2023-05-29 23:49:11.222737,,0
security,win*,3782,,2023-05-29 20:19:11.222740,,0
security,win*,1320,,2023-05-27 18:35:11.222742,,0
security,history_access,,Access,2023-05-30 06:50:11.222744,,0
security,win*,1942,,2023-05-28 22:59:11.222746,,1
security,win*,3908,,2023-06-02 19:52:11.222748,,0
security,win*,2486,,2023-06-02 21:58:11.222751,,0
security,win*,3541,,2023-06-01 23:38:11.222755,,1
security,history_access,,Access,2023-05-31 03:35:11.222757,,1
security,win*,4403,,2023-06-02 06:57:11.222759,,1
security,win*,2068,,2023-06-01 12:32:11.222761,,1
security,history_access,,Access,2023-06-01 04:25:11.222764,,0
security,history_access,,Access,2023-06-02 04:52:11.222766,,1
security,win*,3461,,2023-05-29 04:45:11.222768,,0
security,win*,1154,,2023-06-01 07:35:11.222770,,0
security,win*,2213,,2023-05-29 11:37:11.222772,,0
security,win*,3990,,2023-06-02 12:32:11.222775,,0
security,win*,853,,2023-05-29 12:33:11.222777,,1
security,win*,2531,,2023-05-28 15:22:11.222779,,0
security,win*,4463,,2023-05-28 02:21:11.222781,,0
security,history_access,,Access,2023-06-01 13:27:11.222783,,0
security,win*,1452,,2023-05-29 01:26:11.222785,,0
security,win*,1798,,2023-06-01 05:34:11.222788,,0
security,history_access,,Access,2023-05-31 21:22:11.222790,,1
security,history_access,,Access,2023-05-31 19:05:11.222792,,0
security,win*,3313,,2023-05-31 14:55:11.222794,,0
security,history_access,,Access,2023-06-02 12:25:11.222796,,0
security,win*,3420,,2023-05-31 15:45:11.222798,,1
security,history_access,,Access,2023-05-28 18:10:11.222801,,1
security,win*,2475,,2023-06-02 03:31:11.222802,,1
security,win*,3438,,2023-05-29 11:57:11.222805,,1
security,win*,624,,2023-05-28 08:49:11.222807,,0
security,win*,762,,2023-06-03 09:24:11.222809,,1
security,history_access,,Access,2023-05-30 22:07:11.222812,,1
security,win*,3927,,2023-05-29 16:11:11.222814,,0
security,win*,4236,,2023-05-30 17:40:11.222816,,0
security,win*,3033,,2023-05-31 02:22:11.222818,,1
security,win*,1789,,2023-05-30 06:49:11.222820,,1
security,win*,1541,,2023-05-31 10:18:11.222823,,1
security,win*,988,,2023-05-31 09:34:11.222825,,0
security,history_access,,Access,2023-06-01 00:03:11.222827,,1
security,history_access,,Access,2023-05-31 12:21:11.222829,,1
security,history_access,,Access,2023-05-30 02:37:11.222831,,0
security,history_access,,Access,2023-05-28 10:17:11.222833,,0
security,history_access,,Access,2023-06-02 21:07:11.222837,,0
security,history_access,,Access,2023-06-03 12:12:11.222839,,0
security,history_access,,Access,2023-06-02 16:25:11.222841,,0
security,win*,4595,,2023-05-30 21:41:11.222842,,1
security,history_access,,Access,2023-05-28 19:22:11.222845,,1
security,history_access,,Access,2023-05-30 00:05:11.222846,,1
security,history_access,,Access,2023-05-30 18:56:11.222848,,0
security,win*,2943,,2023-05-30 08:02:11.222851,,1
security,history_access,,Access,2023-05-30 15:08:11.222853,,0
security,history_access,,Access,2023-05-27 23:08:11.222855,,0
security,win*,1365,,2023-05-29 21:05:11.222857,,1
security,history_access,,Access,2023-05-30 00:18:11.222859,,1
security,history_access,,Access,2023-05-28 11:18:11.222863,,0
security,win*,912,,2023-05-28 07:37:11.222865,,1
security,win*,3294,,2023-06-03 11:46:11.222867,,1
security,history_access,,Access,2023-05-28 03:38:11.222870,,1
security,history_access,,Access,2023-05-31 09:59:11.222872,,1
security,win*,3854,,2023-05-28 03:21:11.222874,,0
security,win*,883,,2023-05-31 03:22:11.222876,,0
security,win*,745,,2023-06-01 09:08:11.222878,,0
security,history_access,,Access,2023-05-31 07:19:11.222881,,1
security,win*,2593,,2023-05-31 15:31:11.222883,,0
security,win*,3067,,2023-05-28 17:08:11.222885,,0
security,win*,1158,,2023-06-01 08:22:11.222887,,1
security,history_access,,Access,2023-06-01 17:56:11.222889,,1
security,history_access,,Access,2023-06-01 22:12:11.222891,,0
security,win*,4217,,2023-06-02 18:05:11.222893,,1
security,history_access,,Access,2023-05-31 00:56:11.222895,,1
security,history_access,,Access,2023-05-30 06:47:11.222897,,0
security,win*,1964,,2023-06-01 23:23:11.222899,,1
security,history_access,,Access,2023-05-31 00:24:11.222901,,0
security,history_access,,Access,2023-06-01 15:45:11.222903,,1
security,win*,2477,,2023-06-03 00:19:11.222905,,0
security,history_access,,Access,2023-05-29 00:36:11.222907,,0
security,history_access,,Access,2023-06-01 11:57:11.222909,,0
security,history_access,,Access,2023-05-31 15:21:11.222911,,1
security,history_access,,Access,2023-05-29 03:23:11.222913,,1
security,history_access,,Access,2023-05-31 09:59:11.222915,,0
security,win*,3894,,2023-05-30 10:33:11.222917,,0
security,win*,4148,,2023-05-28 13:52:11.222919,,1
security,win*,1340,,2023-05-31 12:32:11.222921,,1
security,history_access,,Access,2023-06-03 00:42:11.222925,,0
security,win*,3944,,2023-05-30 04:49:11.222927,,0
security,win*,2168,,2023-06-01 03:48:11.222929,,1
security,win*,2906,,2023-06-01 20:44:11.222932,,1
security,history_access,,Access,2023-05-31 10:16:11.222934,,1
security,win*,4276,,2023-05-30 16:45:11.222936,,1
security,win*,1188,,2023-06-01 14:46:11.222938,,1
security,history_access,,Access,2023-05-29 14:29:11.222941,,1
